Key,Value
Density,0.678215
Density_unit,g/cm^3
Estimated_saturation_loading,18.5582044
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,8550.06
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5937
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.875387
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,14401.3
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-16.3334989846
adsorption_energy_widom_dev,0.1363055631
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.5844373369
conversion_factor_molec_uc_to_mg_g,7.480399531
conversion_factor_molec_uc_to_mol_kg,0.170013717
henry_coefficient_average,1.69012e-05
henry_coefficient_dev,3.10798e-07
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.025331016882144, 0.046958484195519, 0.11759490558786, 0.075736807978331, 0.095548577163049, 0.10208417539539, 0.10214389028229, 0.26764304088828, 0.15890226715506, 0.13569986884853, 0.2891645887719, 0.22335405172223, 0.13444491463666, 0.2345045032749, 0.14741996749431, 0.3342527546169, 0.33704246078621, 0.25037713746741], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.3508233050295, 1.2962270818373, 2.2883506280766, 3.3528830163863, 4.3939535117499, 5.5077133718169, 6.6275767243242, 7.8093420711912, 8.6614253187377, 9.7476004532214, 10.562382691258, 11.363351314788, 12.073796134702, 12.651077710776, 13.216160802654, 13.834832218132, 14.068482069405, 14.379173636536], 'enthalpy_of_adsorption_dev': [1.6331245582965, 0.56939194166604, 0.64197126537128, 0.76029935230684, 1.1410823875683, 1.4222277901108, 0.67725542723637, 1.0425809865888, 0.58459697521472, 1.105424758674, 1.9225629276729, 1.1151072310494, 1.4204589725042, 0.49003494549899, 0.83350506763779, 0.55131336210122, 2.0718700373317, 1.7538688733132], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-18.870032509375, -18.460093121482, -17.63220672969, -18.157941932104, -18.164598704614, -18.750028601598, -19.228959616872, -19.917470837179, -20.476960165623, -20.615955617637, -21.418390162381, -21.620238623798, -22.212767869763, -22.533984102833, -23.317106748813, -23.442445519776, -23.93588627539, -24.941345189693]}"
temperature,298
temperature_unit,K
