Key,Value
Density,0.882399
Density_unit,g/cm^3
Estimated_saturation_loading,17.8061902
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,2
POAV_A^3,3155.51
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5552
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.629194
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,5683.56
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-11.2355875885
adsorption_energy_widom_dev,0.0104136252
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,6.5485801117
conversion_factor_molec_uc_to_mg_g,9.2753928316
conversion_factor_molec_uc_to_mol_kg,0.3311046265
henry_coefficient_average,4.38848e-06
henry_coefficient_dev,1.54409e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0039324860424612, 0.015719050463418, 0.023875065898987, 0.027748543203344, 0.017850393657976, 0.037443329412871, 0.058881281663302, 0.047349483942352, 0.049078390223659, 0.050311318031706, 0.033121817585172, 0.030956007259867, 0.10499772770532, 0.11803661207009, 0.049668188219262, 0.073643627525569, 0.065135357923709, 0.026999009045249], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.086757689758663, 0.34398459647085, 0.57824939733526, 0.79393095103736, 0.97081532012932, 1.1675825220426, 1.3752844542461, 1.5481045140477, 1.7600942511644, 1.9398592305069, 2.096604160692, 2.2217285990463, 2.4108472840875, 2.5491579641922, 2.6861193929439, 2.8182549717644, 2.9402918594766, 3.0015544929948], 'enthalpy_of_adsorption_dev': [0.31445393396689, 0.33172826818987, 0.5553744481305, 0.20594748613571, 0.66687644774804, 0.28952493909689, 0.35896245208817, 0.74342994687087, 0.47629640900285, 0.17473337324254, 0.25242700356689, 0.73794098426081, 0.40229284211752, 0.221648374947, 0.50363940368994, 0.49008539738761, 0.79987584079552, 0.67220805999684], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-13.76472691294, -13.822285966094, -13.934881394827, -13.58921079544, -13.635805708679, -13.559812676162, -13.977736649123, -14.061244169514, -13.741834908916, -14.015171983737, -13.946779576464, -13.882200826453, -13.792417915908, -13.676990014384, -13.95384641607, -13.92368054343, -13.892027470837, -13.710568207328]}"
temperature,298
temperature_unit,K
